gene,cluster,study,cluster_study,class,timing
CSF1R,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RIPK2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NFKBIZ,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ZNF100,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PABPC1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MGAT4A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DNAJA1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
U3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CDKN1A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RHOB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
BAG3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C2CD2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LINC00265,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RNU5B-1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
EGR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HIST1H2AG,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MAN1A1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RP11-386I14.4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DUSP6,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
COTL1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
